,0
2022-09-30,0.010440562434252374
2022-10-31,-0.0031308106784860364
2022-10-31,-0.01048281553762776
2022-11-30,-0.012137648575421925
2022-11-30,-0.014146496138680008
2022-11-30,-0.01018219976456955
2023-01-31,0.0028016923425237417
2023-01-31,0.01579221217499353
2023-01-31,0.0072311322282342435
2023-01-31,0.008368521064323436
2023-01-31,0.005378180264790303
2023-02-28,0.0009532175980596527
2023-02-28,0.004409453643014643
2023-02-28,0.0012885735374151843
2023-02-28,-0.0007206284601334005
2023-02-28,0.000622567654562693
2023-02-28,0.0006111360749155437
2023-03-31,-0.019861219059136806
2023-03-31,-0.013085200339855739
2023-03-31,-0.019390624591570944
2023-03-31,-0.015243489348270795
2023-03-31,-0.022674311451685265
2023-03-31,-0.01621805425973748
2023-05-31,0.005964259549116803
2023-05-31,0.01225452737467596
2023-05-31,0.010845261355004607
2023-05-31,0.007967698674432287
2023-05-31,0.014012541719036004
2023-05-31,0.009918441125782001
2023-06-30,0.015248887638378218
2023-06-30,0.014680614157415516
2023-06-30,0.013343620094523811
2023-06-30,0.016782677572923586
2023-06-30,0.016562490539714123
2023-06-30,0.016174614508118218
2023-07-31,-0.007566929604298179
2023-07-31,-0.0048101566449795215
2023-07-31,-0.005603462101782159
2023-07-31,-0.004650030464258197
2023-07-31,0.0010901527067241124
2023-07-31,-0.010123405206422431
2023-08-31,-0.00323774384291135
2023-08-31,-0.004316899896721707
2023-08-31,-0.0011509395679068731
2023-08-31,-0.0025251341874191853
2023-08-31,0.001821749228684836
2023-08-31,-0.004809259045063272
2023-10-31,-0.0042810789667496844
2023-10-31,0.0009902842012362518
2023-10-31,0.004965731464758038
2023-10-31,-0.0015080766077227952
2023-10-31,0.0035000916651410216
2023-10-31,0.012402255491997735
2023-11-30,0.014340038203033442
2023-11-30,0.018117216782758835
2023-11-30,0.010716051895063161
2023-11-30,0.011035017816272244
2023-11-30,0.015913600475965232
2023-11-30,0.016141852441935833
2024-01-31,0.015732769562915434
2024-01-31,0.014414112210512937
2024-01-31,0.007322361383336261
2024-01-31,0.006096479688212462
2024-01-31,0.002198476053521909
2024-01-31,0.010259569931593224
2024-02-29,0.019220403888207133
2024-02-29,0.01875773962433785
2024-02-29,0.01632007821624426
2024-02-29,0.012900499424133061
2024-02-29,0.018347626735835756
2024-02-29,0.016326940776046576
2024-04-30,-0.009721443164636943
2024-04-30,-0.011216236251766442
2024-04-30,-0.0066120214613329484
2024-04-30,-0.01194303669949616
2024-04-30,-0.013139539631104714
2024-04-30,-0.009997331926465314
2024-05-31,-0.01840889106303041
2024-05-31,-0.021120548092371492
2024-05-31,-0.025004800975615332
2024-05-31,-0.022386695376477916
2024-05-31,-0.01570014599260785
2024-05-31,-0.023397869154975298
2024-07-31,-0.0034535545432871975
2024-07-31,-0.007921297582868239
2024-07-31,-0.013011881096917866
2024-07-31,-0.009677167041975524
2024-07-31,-0.005726064252374675
2024-07-31,-0.009140404899255345
2024-09-30,0.016112137004937997
2024-09-30,0.010000989318178779
2024-09-30,0.01318866436295716
2024-09-30,0.012060931626511432
2024-09-30,0.011911184727479965
2024-09-30,0.014418038661770353
2024-10-31,0.0112144586140837
2024-10-31,0.0033679231519029725
2024-10-31,0.009530771741787592
2024-10-31,0.005023303676206951
2024-10-31,0.008447253782936153
2024-10-31,0.0034125240426281086
2024-12-31,0.02340261848874683
2024-12-31,0.02601643703252902
2024-12-31,0.013015827597960754
2024-12-31,0.014162323824977794
2024-12-31,0.017638735239134708
2024-12-31,0.022508310568325966
2025-01-31,0.003426016984771235
2025-01-31,-0.0032627468477951565
2025-01-31,-0.001640487216198237
2025-01-31,0.003944663907287348
2025-01-31,0.0013038273390782594
2025-01-31,0.0021350995090184516
2025-02-28,0.0234248333687719
2025-02-28,0.020163986058605612
2025-02-28,0.019806477622539717
2025-02-28,0.019101155560300478
2025-02-28,0.0264043808021151
2025-02-28,0.0216443677354475
2025-03-31,0.012454244250956585
2025-03-31,0.007750364664841752
2025-03-31,0.012195971244900811
2025-03-31,0.012114429252060242
2025-03-31,0.007153580966929433
2025-03-31,0.01560181316487112
2025-04-30,-0.00016543640569001276
2025-04-30,-0.009068403154145052
2025-04-30,-0.007719549318194194
2025-04-30,-0.0012460274643614723
2025-04-30,-0.007960480157492626
2025-06-30,0.0013005954535601988
2025-06-30,0.002648130221784262
2025-06-30,0.0026308557138694983
2025-07-31,-0.015999068128894598
2025-07-31,-0.012907857964586005
