,0
2022-09-30,0.027702980410052033
2022-10-31,0.006971582577621938
2022-10-31,0.0029252947135610815
2022-11-30,-0.014025517437649893
2022-11-30,-0.013285569490107967
2022-11-30,-0.015132530560523421
2023-01-31,0.023622066455801574
2023-01-31,-0.00021987874312255396
2023-01-31,0.0
2023-01-31,-0.00022482410541411392
2023-01-31,0.030095535813710998
2023-02-28,-0.0218931464476103
2023-02-28,-0.020889217934989886
2023-02-28,-0.02213874741221191
2023-02-28,-0.0289699310412855
2023-02-28,-0.021159223938380517
2023-02-28,-0.02388790808762238
2023-03-31,-0.03209725421679091
2023-03-31,-0.01901366223436592
2023-03-31,-0.011155548296615327
2023-03-31,-0.027884068268517033
2023-03-31,-0.01186823879044849
2023-03-31,-0.019396596324299444
2023-05-31,-0.00020249016598264296
2023-05-31,-0.00021515382105241328
2023-05-31,-0.0002077169547972008
2023-05-31,-0.00019645956009924748
2023-05-31,-0.00021873206317939527
2023-05-31,-0.00019756702501653192
2023-06-30,0.0
2023-06-30,0.037021453045838974
2023-06-30,-0.0002300516859519213
2023-06-30,0.0
2023-06-30,0.0
2023-06-30,0.0
2023-07-31,0.0
2023-07-31,0.0
2023-07-31,0.0
2023-07-31,0.0
2023-07-31,-0.00018522654223496302
2023-07-31,0.0
2023-08-31,-0.020693944481308037
2023-08-31,-0.021267783150013812
2023-08-31,-0.017921979966819403
2023-08-31,-0.015104079824032739
2023-08-31,-0.02558833714415209
2023-08-31,-0.01885599755453422
2023-10-31,-0.00018395388052953619
2023-10-31,0.06346906934795048
2023-10-31,0.06153356103149808
2023-10-31,0.056321087523022985
2023-10-31,0.05840340492707978
2023-10-31,0.0572905600770601
2023-11-30,-0.0002213060922755637
2023-11-30,-0.00022800613439187526
2023-11-30,0.0
2023-11-30,-0.00022704381336586052
2023-11-30,-0.00021841421990133358
2023-11-30,0.06822399267751761
2024-01-31,0.03290703780130187
2024-01-31,0.03806032001781257
2024-01-31,0.0279122084191457
2024-01-31,0.020652840173859016
2024-01-31,0.031117136845534844
2024-01-31,0.030640790388682993
2024-02-29,0.00897998683111208
2024-02-29,0.011084557087454282
2024-02-29,0.010749783317126966
2024-02-29,0.0028389027905026194
2024-02-29,0.005964991167771695
2024-02-29,0.014239315996256255
2024-04-30,-0.00021442469797015718
2024-04-30,0.01191648510174138
2024-04-30,-0.00021825891725773015
2024-04-30,-0.00022654752720896307
2024-04-30,0.012474990747340906
2024-04-30,-0.000197572291433651
2024-05-31,-0.03454420876536405
2024-05-31,-0.030207228439888798
2024-05-31,-0.03301500604316468
2024-05-31,-0.03907739744570367
2024-05-31,-0.0377586182599276
2024-05-31,-0.05222634761640024
2024-07-31,-0.035896399744248624
2024-07-31,-0.031071844923448597
2024-07-31,-0.02946554004572513
2024-07-31,-0.02982325987346806
2024-07-31,-0.03702506240648339
2024-07-31,-0.022390622854969972
2024-09-30,0.008756170731995576
2024-09-30,0.014547027126240376
2024-09-30,0.011301064474288646
2024-09-30,0.011645755498003348
2024-09-30,0.008897616514386109
2024-09-30,0.006318938481308222
2024-10-31,0.026677633303717474
2024-10-31,0.036832788279542006
2024-10-31,0.01935334377665448
2024-10-31,0.029039878439200268
2024-10-31,0.03998534911167993
2024-10-31,0.011637145845420414
2024-12-31,0.02401135442614141
2024-12-31,0.023927512603832763
2024-12-31,0.02316957586330274
2024-12-31,0.027395448342880047
2024-12-31,0.0266293204678366
2024-12-31,0.020769294797287348
2025-01-31,-0.00261469372299705
2025-01-31,-0.0046490694083621935
2025-01-31,-0.0020184515488678354
2025-01-31,-0.003340166620734934
2025-01-31,-0.0070623795525098215
2025-01-31,-0.006699510614330071
2025-02-28,-0.008848758833260379
2025-02-28,-0.004537304413227277
2025-02-28,-0.009525729762320398
2025-02-28,-0.0022130023003169405
2025-02-28,-0.00876640564548282
2025-02-28,-0.010926401336585944
2025-03-31,0.006704402152955195
2025-03-31,0.012223682062656902
2025-03-31,-0.0024312152330928736
2025-03-31,0.007885190165586944
2025-03-31,-0.008455832723871503
2025-03-31,-0.004082957994562717
2025-04-30,0.016060239817527033
2025-04-30,0.010035598491136504
2025-04-30,0.014969771651861911
2025-04-30,0.017143966178353218
2025-04-30,0.016750092900354223
2025-06-30,0.0017446159601999765
2025-06-30,-0.0007412574036930842
2025-06-30,-0.007803348673740972
